Site,Disturbance,Exclosure,Date,hits_Total,hits_C4,hits_C3,hits_Brome,hits_VUOC,hits_AnnForb,hits_PerForb,hits_Forb,hits_Subshrub,hits_SD,hits_Herb,weight_Total,weight_C4,weight_C3,weight_Brome,weight_Forb,weight_AnnForb,weight_PerForb,weight_VUOC,weight_Subshrub,weight_SD,weight_Herb,Year
west fork,prairie dog,ungulate ex,2017-07-19,8,0,7,0,0,1,0,1,0,0,8,94.89333333333333,0.10000000000000024,8.693333333333335,0.0,4.926666666666667,0.0,0.0,0.0,0.0,0.0,94.89333333333333,2017
west fork,prairie dog,ungulate ex,2018-08-01,16,0,10,0,0,6,0,6,0,0,16,230.24,1.0733333333333335,39.233333333333334,0.0,12.606666666666667,0.0,0.0,0.0,0.0,2.2333333333333334,228.0066666666667,2018
west fork,prairie dog,ungulate ex,2019-08-07,28,0,22,0,0,4,0,4,0,2,28,506.11999999999995,0.26666666666666666,84.56666666666666,0.0,0.0,11.333333333333334,2.066666666666667,0.02,0.0,4.766666666666667,501.3533333333333,2019
west fork,prairie dog,ungulate ex,2020-08-05,46,0,22,0,0,0,0,0,0,24,46,271.9296,0.0,63.2,0.0,0.0,0.1304,0.1992,0.0,0.0,208.4,63.52959999999999,2020
wildcat,control,livestock ex,2017-07-18,23,0,23,0,0,0,0,0,0,0,23,98.94666666666666,3.4599999999999995,19.793333333333333,0.0,0.4066666666666669,0.0,0.0,0.0,0.0,0.0,98.94666666666666,2017
wildcat,control,livestock ex,2018-08-02,32,8,24,0,0,0,0,0,0,0,32,198.42666666666665,16.3,52.46,1.0999999999999999,1.4000000000000001,0.0,0.0,0.3,0.0,9.233333333333333,189.19333333333333,2018
wildcat,control,livestock ex,2019-08-05,47,5,40,0,0,0,0,0,0,2,47,159.82,12.1,42.300000000000004,0.02,0.0,0.16666666666666666,0.7999999999999999,0.0,0.0,8.033333333333333,151.78666666666666,2019
wildcat,control,livestock ex,2020-08-06,15,4,11,0,0,0,0,0,0,0,15,69.155,0.0,38.86,0.0218,0.0,0.0332,0.0,0.04,0.0,18.74,50.415000000000006,2020
wildcat,control,out,2017-07-18,24,12,12,0,0,0,0,0,0,0,24,84.97333333333333,3.2999999999999994,13.42,0.0,0.3466666666666664,0.0,0.0,0.0,0.0,0.0,84.97333333333333,2017
wildcat,control,out,2018-08-02,29,9,20,0,0,0,0,0,0,0,29,112.53333333333332,15.18,15.406666666666666,0.07333333333333333,0.7866666666666666,0.0,0.0,0.12666666666666668,0.0,0.6066666666666667,111.92666666666665,2018
