ID,Date,Project,gps_E,gps_N,Method,bm_gm2
E45.5,2016-07-27,BIRD,485431.0,4811396.0,vor,70.44097121856477
E45.5,2017-07-01,BIRD,485431.0,4811396.0,vor,78.22873763512041
E45.5,2018-06-19,BIRD,485431.0,4811396.0,vor,178.56320049869453
E45.6,2015-08-13,BIRD,485246.0,4811229.0,vor,11.10424137072099
E45.6,2016-07-27,BIRD,485246.0,4811229.0,vor,5.263816876177528
E45.6,2017-07-01,BIRD,485246.0,4811229.0,vor,32.03220264174692
E45.6,2018-06-19,BIRD,485246.0,4811229.0,vor,74.8596221254234
E45.7,2015-08-02,BIRD,485060.0,4811061.0,vor,121.44954832735742
E45.7,2016-07-27,BIRD,485060.0,4811061.0,vor,69.95213935475503
E45.7,2017-07-01,BIRD,485060.0,4811061.0,vor,117.35041352511107
E45.7,2018-06-19,BIRD,485060.0,4811061.0,vor,152.2996603821169
E46.1,2015-08-09,BIRD,484288.0,4812962.0,vor,43.05606925583108
E46.1,2016-06-29,BIRD,484288.0,4812962.0,vor,37.92479586217013
E46.1,2017-07-01,BIRD,484288.0,4812962.0,vor,29.418429887255737
E46.1,2018-07-11,BIRD,484288.0,4812962.0,vor,100.702830755957
E46.1,2019-07-27,BIRD,484288.0,4812962.0,vor,55.701179803718034
E46.2,2015-08-09,BIRD,484506.0,4812839.0,vor,98.44513370154203
E46.2,2016-06-29,BIRD,484506.0,4812839.0,vor,54.25931656031434
E46.2,2017-07-01,BIRD,484506.0,4812839.0,vor,52.199713771923015
E46.2,2017-08-08,PDOG,484503.47,4812827.04,clip,64.4101
E46.2,2018-07-11,BIRD,484506.0,4812839.0,vor,130.13445597841985
E46.2,2018-07-12,PDOG,484515.0,4812832.0,clip,90.64
E46.2,2019-07-17,PDOG,484488.1,4812811.4,clip,162.174
E46.2,2019-07-23,BIRD,484506.0,4812839.0,vor,153.5139100027157
E46.2,2021-07-19,PDOG,484476.0,4812826.0,clip,15.843
E46.2,2022-07-19,PDOG,484496.89,4812811.61,clip,62.533
E46.2,2023-04-30,PDOG,484500.0,4812815.0,vor,26.75272998754748
E46.2,2023-07-27,PDOG,484502.71,4812819.72,vor,106.40291647734823
E46.2,2024-07-29,PDOG,484497.0,4812817.0,vor,77.2635898575862
E46.3,2015-08-09,BIRD,484723.0,4812715.0,vor,152.60937271481134
E46.3,2016-06-29,BIRD,484723.0,4812715.0,vor,149.49550871614014
